date,humidity
16-10-2020_09:00:19,   47.75
16-10-2020_09:06:21,   46.79
16-10-2020_09:11:20,   45.64
16-10-2020_09:16:17,   44.73
16-10-2020_09:21:12,   44.33
16-10-2020_09:26:08,   43.83
16-10-2020_09:31:03,   43.70
16-10-2020_09:35:58,   43.83
16-10-2020_09:40:53,   43.71
16-10-2020_09:45:48,   43.75
16-10-2020_09:50:42,   43.83
16-10-2020_09:55:37,   43.80
16-10-2020_10:00:32,   43.77
16-10-2020_10:05:30,   43.79
16-10-2020_10:10:23,   42.69
16-10-2020_10:15:18,   43.02
16-10-2020_10:20:11,   41.43
16-10-2020_10:25:06,   42.44
16-10-2020_10:30:00,   42.09
16-10-2020_10:34:55,   42.39
16-10-2020_10:39:50,   42.36
16-10-2020_10:44:44,   42.63
16-10-2020_10:49:39,   42.38
16-10-2020_10:54:33,   42.07
16-10-2020_10:59:28,   42.95
16-10-2020_11:04:24,   42.93
16-10-2020_11:09:19,   42.46
16-10-2020_11:14:14,   42.48
16-10-2020_11:19:09,   42.87
16-10-2020_11:24:03,   43.01
16-10-2020_11:28:58,   42.93
16-10-2020_11:33:53,   42.57
16-10-2020_11:38:47,   42.46
16-10-2020_11:43:41,   43.32
16-10-2020_11:48:35,   42.46
16-10-2020_11:53:31,   41.51
16-10-2020_11:58:25,   40.64
16-10-2020_12:03:21,   40.82
16-10-2020_12:08:16,   41.92
